"from","to","driver_mechanism","relationship","LINK_FUNCTION","refresh_date","source"
"RBM15 LoF","RBM15","LoF","inhibits",-1,"04 April 2023","Intogen"
"RBM39 GoF","RBM39","GoF","activates",1,"04 April 2023","Intogen"
"RECQL4 LoF","RECQL4","LoF","inhibits",-1,"04 April 2023","Intogen"
"RELA GoF","RELA","GoF","activates",1,"04 April 2023","Intogen"
"RET GoF","RET","GoF","activates",1,"04 April 2023","Intogen"
"RGL3 GoF","RGL3","GoF","activates",1,"04 April 2023","Intogen"
"RGS7 LoF","RGS7","LoF","inhibits",-1,"04 April 2023","Intogen"
"RHOA GoF","RHOA","GoF","activates",1,"04 April 2023","Intogen"
"RNF213 GoF","RNF213","GoF","activates",1,"04 April 2023","Intogen"
"RNF43 LoF","RNF43","LoF","inhibits",-1,"04 April 2023","Intogen"
"RNF6 LoF","RNF6","LoF","inhibits",-1,"04 April 2023","Intogen"
"RPL10 LoF","RPL10","LoF","inhibits",-1,"04 April 2023","Intogen"
"RPL22 GoF","RPL22","GoF","activates",1,"04 April 2023","Intogen"
"RPS6KA3 LoF","RPS6KA3","LoF","inhibits",-1,"04 April 2023","Intogen"
"RRAGC GoF","RRAGC","GoF","activates",1,"04 April 2023","Intogen"
"RRAS2 GoF","RRAS2","GoF","activates",1,"04 April 2023","Intogen"
"RXRA LoF","RXRA","LoF","inhibits",-1,"04 April 2023","Intogen"
"SALL4 GoF","SALL4","GoF","activates",1,"04 April 2023","Intogen"
"SATB1 GoF","SATB1","GoF","activates",1,"04 April 2023","Intogen"
"SDC4 LoF","SDC4","LoF","inhibits",-1,"04 April 2023","Intogen"
"SEPT9 GoF","SEPT9","GoF","activates",1,"04 April 2023","Intogen"
"SET GoF","SET","GoF","activates",1,"04 April 2023","Intogen"
"SETBP1 GoF","SETBP1","GoF","activates",1,"04 April 2023","Intogen"
"SETD1B LoF","SETD1B","LoF","inhibits",-1,"04 April 2023","Intogen"
"SETD2 LoF","SETD2","LoF","inhibits",-1,"04 April 2023","Intogen"
"SETDB1 GoF","SETDB1","GoF","activates",1,"04 April 2023","Intogen"
"SF3B1 GoF","SF3B1","GoF","activates",1,"04 April 2023","Intogen"
"SFMBT2 GoF","SFMBT2","GoF","activates",1,"04 April 2023","Intogen"
"SIN3A GoF","SIN3A","GoF","activates",1,"04 April 2023","Intogen"
"SIRPA LoF","SIRPA","LoF","inhibits",-1,"04 April 2023","Intogen"
"SIX1 LoF","SIX1","LoF","inhibits",-1,"04 April 2023","Intogen"
"SLC45A3 LoF","SLC45A3","LoF","inhibits",-1,"04 April 2023","Intogen"
"SMAD2 LoF","SMAD2","LoF","inhibits",-1,"04 April 2023","Intogen"
"SMAD3 LoF","SMAD3","LoF","inhibits",-1,"04 April 2023","Intogen"
"SMAD4 LoF","SMAD4","LoF","inhibits",-1,"04 April 2023","Intogen"
"SMARCA1 LoF","SMARCA1","LoF","inhibits",-1,"04 April 2023","Intogen"
"SMARCA4 LoF","SMARCA4","LoF","inhibits",-1,"04 April 2023","Intogen"
"SMARCB1 LoF","SMARCB1","LoF","inhibits",-1,"04 April 2023","Intogen"
"SMC1A GoF","SMC1A","GoF","activates",1,"04 April 2023","Intogen"
"SMO GoF","SMO","GoF","activates",1,"04 April 2023","Intogen"
"SOCS1 LoF","SOCS1","LoF","inhibits",-1,"04 April 2023","Intogen"
"SOHLH2 GoF","SOHLH2","GoF","activates",1,"04 April 2023","Intogen"
"SOS1 GoF","SOS1","GoF","activates",1,"04 April 2023","Intogen"
"SOX17 GoF","SOX17","GoF","activates",1,"04 April 2023","Intogen"
"SOX21 LoF","SOX21","LoF","inhibits",-1,"04 April 2023","Intogen"
"SOX9 LoF","SOX9","LoF","inhibits",-1,"04 April 2023","Intogen"
"SPOP GoF","SPOP","GoF","activates",1,"04 April 2023","Intogen"
"SRGAP3 GoF","SRGAP3","GoF","activates",1,"04 April 2023","Intogen"
"SRSF2 GoF","SRSF2","GoF","activates",1,"04 April 2023","Intogen"
"STAG2 LoF","STAG2","LoF","inhibits",-1,"04 April 2023","Intogen"
"STAT6 GoF","STAT6","GoF","activates",1,"04 April 2023","Intogen"
"STK11 LoF","STK11","LoF","inhibits",-1,"04 April 2023","Intogen"
"SUSD2 GoF","SUSD2","GoF","activates",1,"04 April 2023","Intogen"
"SUZ12 GoF","SUZ12","GoF","activates",1,"04 April 2023","Intogen"
"TBL1XR1 LoF","TBL1XR1","LoF","inhibits",-1,"04 April 2023","Intogen"
"TBX3 LoF","TBX3","LoF","inhibits",-1,"04 April 2023","Intogen"
"TCF4 GoF","TCF4","GoF","activates",1,"04 April 2023","Intogen"
"TCF7L2 GoF","TCF7L2","GoF","activates",1,"04 April 2023","Intogen"
"TCIRG1 LoF","TCIRG1","LoF","inhibits",-1,"04 April 2023","Intogen"
"TEC LoF","TEC","LoF","inhibits",-1,"04 April 2023","Intogen"
"TET2 LoF","TET2","LoF","inhibits",-1,"04 April 2023","Intogen"
"TFAP4 LoF","TFAP4","LoF","inhibits",-1,"04 April 2023","Intogen"
"TFG LoF","TFG","LoF","inhibits",-1,"04 April 2023","Intogen"
"TGFBR2 LoF","TGFBR2","LoF","inhibits",-1,"04 April 2023","Intogen"
"TGIF1 LoF","TGIF1","LoF","inhibits",-1,"04 April 2023","Intogen"
"TLL1 GoF","TLL1","GoF","activates",1,"04 April 2023","Intogen"
"TNFAIP3 LoF","TNFAIP3","LoF","inhibits",-1,"04 April 2023","Intogen"
"TNFRSF14 LoF","TNFRSF14","LoF","inhibits",-1,"04 April 2023","Intogen"
"TOP1 LoF","TOP1","LoF","inhibits",-1,"04 April 2023","Intogen"
"TOP2A GoF","TOP2A","GoF","activates",1,"04 April 2023","Intogen"
"TP53 LoF","TP53","LoF","inhibits",-1,"04 April 2023","Intogen"
"TRAF3 LoF","TRAF3","LoF","inhibits",-1,"04 April 2023","Intogen"
"TRIM24 GoF","TRIM24","GoF","activates",1,"04 April 2023","Intogen"
"TRIM49C GoF","TRIM49C","GoF","activates",1,"04 April 2023","Intogen"
"TRIP11 GoF","TRIP11","GoF","activates",1,"04 April 2023","Intogen"
"TSC1 LoF","TSC1","LoF","inhibits",-1,"04 April 2023","Intogen"
"TSC2 LoF","TSC2","LoF","inhibits",-1,"04 April 2023","Intogen"
"U2AF1 GoF","U2AF1","GoF","activates",1,"04 April 2023","Intogen"
"U2AF2 GoF","U2AF2","GoF","activates",1,"04 April 2023","Intogen"
"UBE2A LoF","UBE2A","LoF","inhibits",-1,"04 April 2023","Intogen"
"UBE2D2 GoF","UBE2D2","GoF","activates",1,"04 April 2023","Intogen"
"UGT2B17 GoF","UGT2B17","GoF","activates",1,"04 April 2023","Intogen"
"USP44 LoF","USP44","LoF","inhibits",-1,"04 April 2023","Intogen"
"USP6 GoF","USP6","GoF","activates",1,"04 April 2023","Intogen"
"USP9X LoF","USP9X","LoF","inhibits",-1,"04 April 2023","Intogen"
"VAV1 GoF","VAV1","GoF","activates",1,"04 April 2023","Intogen"
"VHL LoF","VHL","LoF","inhibits",-1,"04 April 2023","Intogen"
"WAS LoF","WAS","LoF","inhibits",-1,"04 April 2023","Intogen"
"WDR45 LoF","WDR45","LoF","inhibits",-1,"04 April 2023","Intogen"
"WRN LoF","WRN","LoF","inhibits",-1,"04 April 2023","Intogen"
"WT1 LoF","WT1","LoF","inhibits",-1,"04 April 2023","Intogen"
"XPC LoF","XPC","LoF","inhibits",-1,"04 April 2023","Intogen"
"XPO1 GoF","XPO1","GoF","activates",1,"04 April 2023","Intogen"
"ZBTB20 GoF","ZBTB20","GoF","activates",1,"04 April 2023","Intogen"
"ZBTB7B GoF","ZBTB7B","GoF","activates",1,"04 April 2023","Intogen"
"ZCRB1 LoF","ZCRB1","LoF","inhibits",-1,"04 April 2023","Intogen"
"ZEB1 LoF","ZEB1","LoF","inhibits",-1,"04 April 2023","Intogen"
"ZFHX3 LoF","ZFHX3","LoF","inhibits",-1,"04 April 2023","Intogen"
"ZFP36L1 LoF","ZFP36L1","LoF","inhibits",-1,"04 April 2023","Intogen"
"ZFX LoF","ZFX","LoF","inhibits",-1,"04 April 2023","Intogen"
"ZNF148 GoF","ZNF148","GoF","activates",1,"04 April 2023","Intogen"
"ZNF165 LoF","ZNF165","LoF","inhibits",-1,"04 April 2023","Intogen"
"ZNF429 LoF","ZNF429","LoF","inhibits",-1,"04 April 2023","Intogen"
"ZNF521 GoF","ZNF521","GoF","activates",1,"04 April 2023","Intogen"
"ZNF780A GoF","ZNF780A","GoF","activates",1,"04 April 2023","Intogen"
"ZNF814 GoF","ZNF814","GoF","activates",1,"04 April 2023","Intogen"
"ZNF93 LoF","ZNF93","LoF","inhibits",-1,"04 April 2023","Intogen"
"ZNRF3 LoF","ZNRF3","LoF","inhibits",-1,"04 April 2023","Intogen"
"ZRSR2 LoF","ZRSR2","LoF","inhibits",-1,"04 April 2023","Intogen"
"ZXDB LoF","ZXDB","LoF","inhibits",-1,"04 April 2023","Intogen"
